quote,quote_spa,movie,movie_spa,character,image_link
"Get busy living, or get busy dying.","Ocúpate en vivir, o en morir.",The Shawshank Redemption (1994),Cadena perpetua (1994),Andy Dufresne,https://www.imdb.com/title/tt0111161/mediaviewer/rm195474688/
"Hope is a good thing, maybe the best of things, and no good thing ever dies.","La esperanza es algo bueno, quizá lo mejor de todo, y las cosas buenas nunca mueren.",The Shawshank Redemption (1994),Cadena perpetua (1994),Andy Dufresne,https://www.imdb.com/title/tt0111161/mediaviewer/rm2108642304/
"Don’t ever let somebody tell you you can’t do something. Not even me. You got a dream, you gotta protect it. If you want something, go get it. Period.","Nunca dejes que nadie te diga que no puedes hacer algo, ni siquiera yo. Si tienes un sueño, tienes que protegerlo. Si quieres algo, ve y consíguelo. Punto.",The Pursuit of Happyness (2006),En busca de la felicidad (2006),Chris Gardner,https://www.imdb.com/title/tt0454921/mediaviewer/rm4166675456/
"It’s not who we are underneath, but what we do that defines us.","No es quiénes somos por dentro, sino lo que hacemos lo que nos define.",Batman Begins (2005),Batman inicia (2005),Bruce Wayne / Batman,https://www.imdb.com/title/tt0372784/mediaviewer/rm1078390272/
"Why do we fall, sir? So that we can learn to pick ourselves up.","¿Por qué caemos, señor? Para aprender a levantarnos.",Batman Begins (2005),Batman inicia (2005),Alfred Pennyworth,https://www.imdb.com/title/tt0372784/mediaviewer/rm2240422912/
It is not our abilities that show what we truly are… it is our choices.,No son nuestras habilidades las que muestran quiénes somos realmente... son nuestras elecciones.,Harry Potter and the Chamber of Secrets (2002),Harry Potter y la cámara secreta (2002),Albus Dumbledore,https://www.imdb.com/title/tt0295297/mediaviewer/rm3816584448/
Let me tell you something you already know. The world ain’t all sunshine and rainbows… it’s about how hard you can get hit and keep moving forward.,Déjame decirte algo que ya sabes. El mundo no es todo sol y arcoíris... se trata de qué tan duro puedes ser golpeado y seguir adelante.,Rocky Balboa (2006),Rocky Balboa (2006),Rocky Balboa,https://www.imdb.com/title/tt0479143/mediaviewer/rm3831894528/
The only thing standing between you and your goal is the bullshit story you keep telling yourself as to why you can't achieve it.,La única cosa que se interpone entre tú y tu meta es la mentira que te sigues contando sobre por qué no puedes lograrlo.,The Wolf of Wall Street (2013),El lobo de Wall Street (2013),Jordan Belfort,https://www.imdb.com/title/tt0993846/mediaviewer/rm1559367424/
"The greatest glory in living lies not in never falling, but in rising every time we fall.","La mayor gloria en la vida no está en nunca caer, sino en levantarnos cada vez que caemos.",Invictus (2009),Invictus (2009),Nelson Mandela,https://www.imdb.com/title/tt1057500/mediaviewer/rm1126240512/
"There should be no boundaries to human endeavor. We are all different. However bad life may seem, there is always something you can do and succeed at. While there's life, there is hope.","No debe haber límites para el esfuerzo humano. Todos somos diferentes. Por muy mala que parezca la vida, siempre hay algo que puedes hacer y en lo que puedes triunfar. Mientras haya vida, hay esperanza.",The Theory of Everything (2014),La teoría del todo (2014),Stephen Hawking,https://www.imdb.com/title/tt2980516/mediaviewer/rm105637760/
